rank,wallet_address,username,score,win_rate,wins,losses,unique_markets,pnl_all,pnl_month,pnl_week,volume_all,pnl_vol_ratio,portfolio_value,open_positions,closed_positions,avg_position_value,concentration_pct,leaderboard_rank,polymarket_profile_url
1,0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e,nojnn,96.17,68.29,28,13,87,239071.88,42157.48,25052.58,2114258.5,0.1131,396116.18,49,41,8084.0,36.08,512,https://polymarket.com/profile/0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e
2,0xeac496091d7eec31b2f9be820a142da2dabfc1dd,0xeac496091d7eec31b2f9be820a142da2dabfc1dd,94.67,66.67,2,1,7,203361.8,202035.9,152664.86,1995335.24,0.1019,0.01,4,3,0.0,0,611,https://polymarket.com/profile/0xeac496091d7eec31b2f9be820a142da2dabfc1dd
3,0x73f8dd50a114884493dbf4a5ea1503f96f348234,DrillBabyDrill,92.5,70.0,7,3,10,749351.71,19969.89,16346.73,2780304.85,0.2695,0.06,0,10,0,0,151,https://polymarket.com/profile/0x73f8dd50a114884493dbf4a5ea1503f96f348234
4,0x88c4919de76e526d55a32c1f8afb439dd1f1129a,8934394839,91.07,71.43,30,12,80,496894.09,11577.38,-9362.27,3241901.98,0.1533,450948.36,44,42,10248.83,27.41,246,https://polymarket.com/profile/0x88c4919de76e526d55a32c1f8afb439dd1f1129a
5,0xc29e1cef4256f423e5a3e713d886bd25f98da2ca,shutitfatty,87.9,72.0,36,14,50,413339.27,33360.92,-6168.97,4752297.11,0.087,0.03,1,50,0.0,0,299,https://polymarket.com/profile/0xc29e1cef4256f423e5a3e713d886bd25f98da2ca
6,0xf6ea56fa38789d4552b8e8a4d11d7f464e6e3ea8,NicholasWickerson,85.68,65.96,31,16,71,244336.01,37322.76,33634.56,2837988.96,0.0861,123081.89,26,47,4733.92,74.8,499,https://polymarket.com/profile/0xf6ea56fa38789d4552b8e8a4d11d7f464e6e3ea8
7,0x25e28169faea17421fcd4cc361f6436d1e449a09,xdd07070,85,85.11,40,7,47,137199.67,14588.16,11828.16,1083454.71,0.1266,0.05,0,47,0,0,858,https://polymarket.com/profile/0x25e28169faea17421fcd4cc361f6436d1e449a09
8,0xf98dec26318d00d7863746d6aa2347691ee37adb,0xf98DEc26318D00d7863746D6Aa2347691EE37ADb-1765930953808,84.17,66.67,8,4,14,319286.07,0,0,2607254.82,0.1225,0.0,2,12,0.0,0,383,https://polymarket.com/profile/0xf98dec26318d00d7863746d6aa2347691ee37adb
9,0xecce62c703daa9729f54d23ae26c5a194ab2fdb4,schweinerschinkler,83.75,68.75,11,5,19,140899.11,0,0,591096.76,0.2384,0.09,3,16,0.0,0,842,https://polymarket.com/profile/0xecce62c703daa9729f54d23ae26c5a194ab2fdb4
10,0x9ec7da81a2da3d47a47dd281b1ecf2cf2b3a35c0,gaba4,83.6,88.89,16,2,24,339700.17,12861.75,4274.87,1568318.66,0.2166,440032.33,7,18,62861.75,42.8,362,https://polymarket.com/profile/0x9ec7da81a2da3d47a47dd281b1ecf2cf2b3a35c0
11,0xe29a7c2d90ec210dd675a8b0ede61d95f57d6073,LoveJesus,82.5,70.0,7,3,12,113490.58,0,0,287518.24,0.3947,0.01,3,10,0.0,0,1013,https://polymarket.com/profile/0xe29a7c2d90ec210dd675a8b0ede61d95f57d6073
